WKT,id,index
"POLYGON ((521724.437702191 184811.639111376,521581.941816236 184698.940106016,521616.977119723 184505.392147858,521794.509401491 184424.547145449,521937.002391973 184537.249547744,521901.965996163 184730.793555631,521724.437702191 184811.639111376))",94,89195da588bffff
"POLYGON ((543517.021786332 161571.723807999,543374.839008439 161458.758907425,543409.970954334 161265.139861346,543587.284966048 161184.489047592,543729.463058044 161297.456634138,543694.330959548 161491.072006759,543517.021786332 161571.723807999))",95,89194ad420bffff
"POLYGON ((554520.473609352 193974.317094523,554378.739423891 193861.987086854,554413.904067788 193668.938694972,554590.805835785 193588.225133596,554732.53193493 193700.5560263,554697.366067185 193893.600410977,554520.473609352 193974.317094523))",96,89194e60657ffff
"POLYGON ((514535.986774677 171375.356309381,514393.247092111 171262.369184748,514428.264056828 171068.550634657,514606.021817964 170987.723215213,514748.758640507 171100.713753538,514713.740539679 171294.528284094,514535.986774677 171375.356309381))",97,89194ad9e1bffff
"POLYGON ((507505.446393793 177774.699770515,507362.597573019 177661.782170965,507397.584161074 177467.978078322,507575.420129359 177387.096161748,507718.26594204 177500.019392175,507683.278808311 177693.81825005,507505.446393793 177774.699770515))",98,89195d360dbffff
"POLYGON ((509678.620617968 189230.967981105,509535.888332125 189118.271997417,509570.872395136 188924.654424511,509748.589604151 188843.737639472,509891.317762991 188956.436851053,509856.332541609 189150.050135861,509678.620617968 189230.967981105))",99,89195dac447ffff
"POLYGON ((526396.288996984 177000.960627171,526253.838951073 176888.152297348,526288.891979149 176694.546841347,526466.396288542 176613.75372864,526608.843251345 176726.56537546,526573.789106106 176920.166857962,526396.288996984 177000.960627171))",100,89194ad125bffff
"POLYGON ((521074.826703144 181199.773346014,520932.291545048 181087.005844707,520967.326850449 180893.400150594,521144.898567383 180812.566021613,521287.430876141 180925.336948539,521252.394317311 181118.938578944,521074.826703144 181199.773346014))",101,89195da5b23ffff
"POLYGON ((532133.063961027 168705.057355693,531990.685589056 168592.139362617,532025.775380292 168398.481478078,532203.244010433 168317.744710137,532345.618309611 168430.666534548,532310.5277549 168624.320918049,532133.063961027 168705.057355693))",102,89194ad1bb3ffff
"POLYGON ((535673.120469792 179702.048749976,535530.890333535 179589.34617769,535565.983140238 179395.883522039,535743.307383988 179315.127910904,535885.534692622 179427.834024634,535850.440585152 179621.29220817,535673.120469792 179702.048749976))",103,89194ad3187ffff
"POLYGON ((533225.458302316 180639.288949422,533083.181482618 180526.584962033,533118.263206917 180333.107893339,533295.623063229 180252.338422151,533437.897062776 180365.045656264,533402.814033751 180558.519057495,533225.458302316 180639.288949422))",104,89194ad3077ffff
"POLYGON ((543775.803981218 187007.024263924,543633.788261639 186894.498925584,543668.901408488 186701.223337278,543846.031250518 186620.476587318,543988.044051022 186733.005184269,543952.929928557 186926.27727269,543775.803981218 187007.024263924))",105,89194e68cc7ffff
