INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844344,-73.914743,POINT (-73.914743 40.844344)
296106132,11/07/2024,15:45:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,<18,M,BLACK,18-24,M,BLACK,1039179,195085,40.70197,-73.801895,POINT (-73.801895 40.70197)
286098200,04/29/2024,20:50:00,BRONX,INSIDE,42,0,PLAYGROUND,(null),N,(null),(null),(null),<18,M,BLACK,1014862,244458,40.837603,-73.889368,POINT (-73.889368 40.837603)
284540124,03/29/2024,19:54:00,MANHATTAN,OUTSIDE,7,0,OTHER,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,988980,201020,40.71843,-73.982936,POINT (-73.982936 40.71843)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK,<18,M,BLACK,1007839,246906,40.844344,-73.914743,POINT (-73.914743 40.844344)
287125470,05/18/2024,14:49:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),45-64,F,WHITE HISPANIC,1021411,236890,40.816806,-73.865745,POINT (-73.865745 40.816806)
295048704,10/17/2024,18:04:00,BROOKLYN,OUTSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1015828,179159,40.658372,-73.886184,POINT (-73.886184 40.658372)
280107186,01/06/2024,13:32:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,(null),Y,25-44,M,BLACK HISPANIC,25-44,M,BLACK,986962,214020,40.754112,-73.99021,POINT (-73.99021 40.754112)
285883381,04/24/2024,15:00:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1000913,238269,40.820654,-73.939794,POINT (-73.939794 40.820654)
281577208,02/02/2024,12:02:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,BLACK,1020568,239896,40.825062,-73.868772,POINT (-73.868772 40.825062)
295641945,10/29/2024,13:48:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,<18,M,BLACK,25-44,M,BLACK,997391,231145,40.801108,-73.952532,POINT (-73.952532 40.801108)
294044269,09/27/2024,22:24:00,QUEENS,OUTSIDE,105,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1051851,181830,40.665501,-73.756326,POINT (-73.756326 40.665501)
297453074,12/03/2024,18:30:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,25-44,M,BLACK,1010862,178621,40.656911,-73.904087,POINT (-73.904087 40.656911)
294249516,10/02/2024,0:00:00,MANHATTAN,OUTSIDE,33,0,STREET,(null),Y,18-24,M,WHITE HISPANIC,45-64,M,ASIAN / PACIFIC ISLANDER,1000731,243512,40.835045,-73.94044,POINT (-73.94044 40.835045)
